,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,score_phrase,score,editors_choice,release_year,release_month,release_day
1025,Painkiller,PC,Shooter,DreamCatcher Interactive,0.0,0.02,0.0,0.0,0.02,Good,7.0,N,2004,4,12
1026,Spider-Man: Web of Shadows,PC,Action,Activision,0.0,0.02,0.0,0.0,0.02,Mediocre,5.3,N,2008,10,30
1027,Dungeon Defenders,PC,Role-Playing,Unknown,0.02,0.0,0.0,0.0,0.02,Great,8.5,N,2011,11,1
1028,Stormrise,PC,Strategy,Sega,0.0,0.02,0.0,0.0,0.02,Painful,2.1,N,2009,4,3
1029,Spider-Man 3,PC,Platform,Activision,0.02,0.0,0.0,0.0,0.02,Bad,4.7,N,2007,5,8
1030,Hellgate: London,PC,Role-Playing,Electronic Arts,0.0,0.02,0.0,0.0,0.02,Okay,6.8,N,2007,11,5
1031,Homefront: The Revolution,PC,Shooter,Deep Silver,0.0,0.02,0.0,0.0,0.02,Mediocre,5.0,N,2016,5,17
1032,TOCA Race Driver 3,PC,Racing,Codemasters,0.0,0.02,0.0,0.0,0.02,Great,8.7,Y,2006,2,24
1033,Oil Rush,PC,Strategy,Iceberg Interactive,0.0,0.02,0.0,0.0,0.02,Okay,6.5,N,2012,1,31
1034,Deus Ex: Mankind Divided,PC,Role-Playing,Square Enix,0.0,0.02,0.0,0.0,0.02,Amazing,9.2,Y,2016,8,19
1035,Trapped Dead,PC,Strategy,Iceberg Interactive,0.0,0.02,0.0,0.0,0.02,Bad,4.0,N,2011,8,12
1036,Heroes of the Pacific,PC,Simulation,Codemasters,0.0,0.02,0.0,0.0,0.02,Great,8.0,N,2005,11,4
1037,Mount & Blade: Warband,PC,Role-Playing,Paradox Interactive,0.01,0.01,0.0,0.0,0.02,Great,8.1,N,2010,4,13
1038,Resident Evil Zero,PC,Action,Capcom,0.01,0.01,0.0,0.0,0.02,Okay,6.5,N,2016,1,19
1039,Mini Ninjas,PC,Action,Eidos Interactive,0.0,0.02,0.0,0.0,0.02,Great,8.0,N,2009,10,6
1040,NHL 09,PC,Sports,Electronic Arts,0.0,0.02,0.0,0.0,0.02,Mediocre,5.5,N,2008,12,11
1041,Vietcong,PC,Shooter,Gathering of Developers,0.0,0.02,0.0,0.0,0.02,Good,7.0,N,2003,3,31
1042,Ten Pin Alley 2,Wii,Sports,XS Games,0.02,0.0,0.0,0.0,0.02,Painful,2.0,N,2008,12,10
1043,Starship Troopers,PC,Shooter,Empire Interactive,0.0,0.02,0.0,0.0,0.02,Mediocre,5.0,N,2005,12,5
1044,Tycoon City: New York,PC,Strategy,Atari,0.0,0.02,0.0,0.0,0.02,Good,7.0,N,2006,3,15
1045,Commandos 3: Destination Berlin,PC,Strategy,Eidos Interactive,0.0,0.02,0.0,0.0,0.02,Great,8.9,Y,2003,10,15
1046,Uru: Ages Beyond Myst,PC,Adventure,Ubisoft,0.0,0.02,0.0,0.0,0.02,Amazing,9.0,Y,2003,12,4
1047,Legendary,PC,Shooter,Atari,0.0,0.01,0.0,0.0,0.02,Painful,2.5,N,2008,12,5
1048,Pirates of the Burning Sea,PC,Role-Playing,Koch Media,0.0,0.01,0.0,0.0,0.02,Great,8.2,N,2008,2,12
1049,WorldShift,PC,Strategy,Playlogic Game Factory,0.02,0.0,0.0,0.0,0.02,Mediocre,5.0,N,2009,11,20
1050,Peggle Nights,PC,Puzzle,PopCap Games,0.0,0.01,0.0,0.0,0.02,Great,8.4,Y,2008,9,25
1051,Myth Makers: Super Kart GP,Wii,Racing,Popcorn Arcade,0.01,0.0,0.0,0.0,0.02,Awful,3.5,N,2008,2,14
1052,Command & Conquer 3: Kane's Wrath,PC,Strategy,Electronic Arts,0.0,0.01,0.0,0.0,0.02,Good,7.9,N,2008,3,25
1053,James Bond 007: Blood Stone,PC,Shooter,Activision,0.02,0.0,0.0,0.0,0.02,Mediocre,5.0,N,2010,11,2
1054,Agatha Christie: Death on the Nile,PC,Adventure,Big Fish Games,0.0,0.01,0.0,0.0,0.02,Mediocre,5.3,N,2008,11,19
1055,Tomb Raider: Legend,PC,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.02,Great,8.2,N,2006,4,5
1056,Emergency Mayhem,Wii,Racing,Codemasters,0.02,0.0,0.0,0.0,0.02,Mediocre,5.0,N,2008,5,7
1057,Airline Tycoon,PC,Simulation,Interplay,0.0,0.01,0.0,0.0,0.02,Good,7.9,N,2001,2,20
1058,Unreal Tournament 2004,PC,Shooter,Atari,0.0,0.01,0.0,0.0,0.02,Amazing,9.4,Y,2004,3,11
1059,The Longest Journey,PC,Adventure,Empire Interactive,0.0,0.01,0.0,0.0,0.02,Amazing,9.3,Y,2000,11,20
1060,Stronghold Legends,PC,Strategy,Take-Two Interactive,0.0,0.01,0.0,0.0,0.02,Mediocre,5.7,N,2006,10,27
1061,Syberia II,PC,Adventure,MC2 Entertainment,0.0,0.01,0.0,0.0,0.02,Great,8.6,N,2004,3,17
1062,Lost: Via Domus,PC,Action,Ubisoft,0.0,0.01,0.0,0.0,0.02,Mediocre,5.5,N,2008,2,29
1063,Post Mortem,PC,Adventure,Microids,0.0,0.01,0.0,0.0,0.02,Good,7.9,N,2003,2,25
1064,Disciples III: Renaissance,PC,Strategy,Kalypso Media,0.0,0.01,0.0,0.0,0.02,Okay,6.0,N,2010,8,31
1065,LEGO Star Wars II: The Original Trilogy,PC,Action,Activision,0.0,0.01,0.0,0.0,0.02,Great,8.0,N,2006,9,7
1066,Just Cause,PC,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.02,Okay,6.8,N,2006,9,26
1067,Blazing Angels: Squadrons of WWII,PC,Simulation,Ubisoft,0.01,0.0,0.0,0.0,0.02,Okay,6.8,N,2006,3,27
1068,Divinity: Original Sin,PC,Role-Playing,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02,Amazing,9.0,Y,2014,7,15
1069,Still Life 2,PC,Adventure,Rondomedia,0.0,0.01,0.0,0.0,0.02,Good,7.5,N,2009,6,17
1070,Worms World Party,PC,Strategy,Virgin Interactive,0.0,0.01,0.0,0.0,0.02,Great,8.0,N,2001,6,18
1071,Gears of War,PC,Shooter,Microsoft Game Studios,0.0,0.01,0.0,0.0,0.02,Great,8.7,Y,2007,11,7
1072,Colin McRae Rally 2005,PC,Racing,Codemasters,0.0,0.01,0.0,0.0,0.02,Amazing,9.1,Y,2004,11,19
